Date,Open,High,Low,Close,Volume
2020-06-24,22541,22663,22482,22534,669682200.0
2020-06-25,22287,22423,22165,22259,808200600.0
2020-06-26,22424,22589,22409,22512,666387400.0
2020-06-29,22255,22281,21969,21995,737157500.0
2020-06-30,22335,22447,22279,22288,741689200.0
2020-07-01,22338,22360,22039,22121,673597200.0
2020-07-02,22182,22266,22072,22145,735692200.0
2020-07-03,22242,22306,22156,22306,516774700.0
2020-07-06,22341,22734,22327,22714,580111700.0
2020-07-07,22649,22741,22541,22614,626637300.0
2020-07-08,22481,22665,22438,22438,649124400.0
2020-07-09,22442,22679,22436,22529,651672700.0
2020-07-10,22534,22563,22290,22290,788050200.0
2020-07-13,22591,22784,22561,22784,712467500.0
2020-07-14,22631,22674,22540,22587,609654400.0
2020-07-15,22817,22964,22800,22945,725699500.0
2020-07-16,22907,22925,22739,22770,894437400.0
2020-07-17,22807,22857,22644,22696,558647200.0
2020-07-20,22772,22786,22580,22717,500419400.0
2020-07-21,22789,22925,22789,22884,685610200.0
2020-07-22,22791,22855,22732,22751,653641800.0
2020-07-27,22495,22740,22430,22715,717615700.0
2020-07-28,22735,22841,22646,22657,677532400.0
2020-07-29,22468,22492,22366,22397,742586300.0
2020-07-30,22489,22506,22334,22339,777658100.0
2020-07-31,22267,22295,21710,21710,1066153600.0
2020-08-03,22173,22214,22117,22195,839731800.0
2020-08-04,22379,22602,22379,22573,891080900.0
2020-08-05,22479,22552,22358,22514,740042200.0
2020-08-06,22471,22587,22362,22418,626226700.0
2020-08-07,22433,22435,22204,22329,666931600.0
2020-08-11,22505,22760,22497,22750,993224200.0
2020-08-12,22747,22874,22670,22843,907654200.0
2020-08-13,23123,23316,23111,23249,848227700.0
2020-08-14,23323,23338,23222,23289,598152300.0
2020-08-17,23189,23247,23068,23096,435886300.0
2020-08-18,23097,23125,22949,23051,556297200.0
2020-08-19,22997,23149,22955,23110,500960900.0
2020-08-20,22969,22975,22852,22880,501836300.0
2020-08-21,22934,23036,22920,22920,511828300.0
2020-08-24,22913,23012,22862,22985,405885300.0
2020-08-25,23242,23429,23225,23296,752691600.0
2020-08-26,23257,23348,23203,23290,477898200.0
2020-08-27,23311,23323,23177,23208,526749800.0
2020-08-28,23232,23375,22610,22882,980828200.0
2020-08-31,23147,23341,23106,23139,809888800.0
2020-09-01,23089,23206,23048,23138,595681700.0
2020-09-02,23261,23287,23170,23247,526373800.0
2020-09-03,23524,23578,23426,23465,574654800.0
2020-09-04,23130,23257,23098,23205,593147800.0
2020-09-07,23145,23218,23087,23089,572772000.0
2020-09-08,23167,23277,23161,23274,621125500.0
2020-09-09,22966,23057,22878,23032,844317700.0
2020-09-10,23193,23250,23134,23235,675856200.0
2020-09-11,23114,23412,23114,23406,768964300.0
2020-09-14,23431,23582,23430,23559,654361500.0
2020-09-15,23438,23477,23351,23454,617626300.0
2020-09-16,23425,23506,23398,23475,630213900.0
2020-09-17,23416,23446,23274,23319,610983200.0
2020-09-18,23321,23398,23290,23360,826007000.0
2020-09-23,23245,23370,23154,23346,769615000.0
2020-09-24,23215,23233,23039,23087,705324800.0
2020-09-25,23217,23272,23154,23204,721750600.0
2020-09-28,23391,23516,23304,23511,819815900.0
2020-09-29,23410,23622,23350,23539,613479300.0
2020-09-30,23478,23521,23170,23185,882181200.0
2020-10-01,23184,23184,23184,23185,862927400.0
2020-10-02,23294,23364,22951,23029,594701800.0
2020-10-05,23254,23377,23252,23312,576639800.0
2020-10-06,23420,23440,23332,23433,520933900.0
2020-10-07,23351,23432,23350,23422,563453900.0
2020-10-08,23506,23701,23477,23647,560939800.0
2020-10-09,23713,23725,23552,23619,448938800.0
2020-10-12,23573,23589,23501,23558,471893300.0
2020-10-13,23667,23667,23490,23601,540236500.0
2020-10-14,23545,23656,23519,23626,483254900.0
2020-10-15,23548,23581,23458,23507,481266800.0
2020-10-16,23478,23538,23382,23410,462733400.0
2020-10-19,23543,23707,23543,23671,486736200.0
2020-10-20,23587,23674,23518,23567,533287900.0
2020-10-21,23615,23702,23611,23639,448662500.0
2020-10-22,23525,23555,23436,23474,492251400.0
2020-10-23,23558,23587,23469,23516,416948200.0
2020-10-26,23520,23572,23475,23494,526861800.0
2020-10-27,23376,23485,23245,23485,671404500.0
2020-10-28,23372,23451,23334,23418,575158900.0
2020-10-29,23170,23374,23170,23331,766808300.0
2020-10-30,23320,23320,22948,22977,697470700.0
2020-11-02,23110,23370,23096,23295,816066900.0
2020-11-04,23619,23801,23505,23695,786183900.0
2020-11-05,23776,24112,23760,24105,731903000.0
2020-11-06,24076,24388,24043,24325,670156600.0
2020-11-09,24568,24962,24543,24839,1281684500.0
2020-11-10,25087,25279,24834,24905,1024655000.0
2020-11-11,25145,25399,25145,25349,805327500.0
2020-11-12,25439,25587,25316,25520,775851100.0
2020-11-13,25405,25449,25215,25385,849357200.0
2020-11-16,25652,25928,25645,25906,848285600.0
2020-11-17,26043,26055,25851,26014,692441800.0
2020-11-18,25860,25872,25656,25728,820378500.0
2020-11-19,25628,25650,25475,25634,634288600.0
2020-11-20,25486,25555,25425,25527,817074700.0
2020-11-24,25901,26261,25901,26165,925225400.0
2020-11-25,26468,26706,26258,26296,635480400.0
2020-11-26,26255,26557,26255,26537,862270400.0
2020-11-27,26530,26672,26420,26644,1476533900.0
2020-11-30,26830,26834,26408,26433,732389000.0
2020-12-01,26624,26847,26618,26787,801851700.0
2020-12-02,26884,26884,26695,26800,694756100.0
2020-12-03,26740,26864,26721,26809,616224700.0
2020-12-04,26697,26799,26647,26751,615825900.0
2020-12-07,26894,26894,26503,26547,550564000.0
2020-12-08,26380,26522,26328,26467,618485500.0
2020-12-09,26526,26822,26526,26817,692459400.0
2020-12-10,26688,26852,26639,26756,748741500.0
2020-12-11,26732,26819,26553,26652,599611500.0
2020-12-14,26659,26870,26652,26732,593322600.0
2020-12-15,26683,26735,26605,26687,613305100.0
2020-12-16,26835,26874,26717,26757,614935600.0
2020-12-17,26744,26843,26676,26806,737837900.0
2020-12-18,26775,26819,26707,26763,607191800.0
2020-12-21,26834,26903,26533,26714,586447900.0
2020-12-22,26559,26639,26361,26436,560116600.0
2020-12-23,26580,26580,26415,26524,479327700.0
2020-12-24,26635,26764,26605,26668,333987300.0
2020-12-25,26708,26714,26639,26656,506674700.0
2020-12-28,26691,26854,26665,26854,594326100.0
2020-12-29,26936,27601,26924,27568,505872400.0
2020-12-30,27559,27568,27338,27444,515064700.0
2021-01-04,27575,27602,27046,27258,550010200.0
2021-01-05,27151,27278,27073,27158,726613600.0
2021-01-06,27102,27195,27002,27055,988563500.0
2021-01-07,27340,27624,27340,27490,848717900.0
2021-01-08,27720,28139,27667,28139,788398500.0
2021-01-12,28004,28287,27899,28164,708566600.0
2021-01-13,28140,28503,28139,28456,819132600.0
2021-01-14,28442,28978,28411,28698,741160200.0
2021-01-15,28777,28809,28477,28519,519145900.0
