Date,Open,High,Low,Close,aClose,Volume
2020-06-19,5500,5576,5470,5483,5483,28569800
2020-06-22,5461,5584,5429,5512,5512,21944800
2020-06-23,5600,5679,5433,5497,5497,41890600
2020-06-24,5535,5545,5336,5396,5396,21338800
2020-06-25,5320,5440,5317,5370,5370,17122200
2020-06-26,5483,5579,5435,5533,5533,20858500
2020-06-29,5489,5510,5361,5380,5380,17002700
2020-06-30,5472,5487,5431,5450,5450,13309900
2020-07-01,5460,5600,5459,5551,5551,30304700
2020-07-02,5629,5698,5594,5630,5630,23721300
2020-07-03,5697,5778,5675,5778,5778,23892400
2020-07-06,5839,5926,5805,5918,5918,23873200
2020-07-07,6000,6214,5992,6190,6190,36006400
2020-07-08,6135,6153,5996,6019,6019,28817500
2020-07-09,6191,6380,6184,6291,6291,33662000
2020-07-10,6380,6478,6267,6267,6267,30112500
2020-07-13,6445,6532,6374,6532,6532,27271800
2020-07-14,6414,6470,6374,6443,6443,28066300
2020-07-15,6532,6577,6483,6497,6497,23916900
2020-07-16,6480,6561,6390,6403,6403,23481400
2020-07-17,6418,6519,6395,6415,6415,22565000
2020-07-20,6480,6505,6180,6272,6272,25969200
2020-07-21,6372,6488,6358,6464,6464,23967000
2020-07-22,6435,6507,6408,6492,6492,20289000
2020-07-27,6430,6592,6422,6499,6499,21580600
2020-07-28,6565,6647,6552,6645,6645,20213000
2020-07-29,6700,6748,6653,6739,6739,19506200
2020-07-30,6908,6949,6816,6898,6898,21443800
2020-07-31,6998,7048,6585,6595,6595,32522500
2020-08-03,6750,6942,6681,6932,6932,21806200
2020-08-04,7072,7077,6716,6881,6881,23409900
2020-08-05,6680,6724,6556,6593,6593,19566600
2020-08-06,6570,6705,6514,6548,6548,17155100
2020-08-07,6500,6600,6443,6521,6521,15342100
2020-08-11,6552,6565,6287,6361,6361,18400100
2020-08-12,6331,6442,6087,6192,6192,27137300
2020-08-13,6336,6448,6304,6423,6423,18655800
2020-08-14,6424,6424,6240,6326,6326,16614900
2020-08-17,6226,6254,6135,6237,6237,13131400
2020-08-18,6260,6329,6177,6194,6194,11173200
2020-08-19,6150,6403,6131,6397,6397,17108100
2020-08-20,6399,6399,6238,6266,6266,12530800
2020-08-21,6294,6358,6241,6259,6259,9760700
2020-08-24,6288,6310,6220,6269,6269,8092100
2020-08-25,6379,6487,6313,6422,6422,15612200
2020-08-26,6500,6659,6490,6640,6640,16441300
2020-08-27,6701,6751,6602,6618,6618,12200400
2020-08-28,6600,6610,6320,6397,6397,19036500
2020-08-31,6549,6710,6518,6598,6598,17905300
2020-09-01,6530,6619,6508,6519,6519,11447000
2020-09-02,6640,6669,6536,6581,6581,11202000
2020-09-03,6665,6671,6542,6544,6544,9652900
2020-09-04,6344,6444,6284,6334,6334,14175600
2020-09-07,6177,6180,5825,5881,5881,30995200
2020-09-08,5843,5910,5623,5845,5845,34178800
2020-09-09,5545,5689,5432,5677,5677,38629400
2020-09-10,5685,5840,5653,5800,5800,25329600
2020-09-11,5725,5880,5666,5860,5860,19490700
2020-09-14,6400,6494,6303,6385,6385,35465700
2020-09-15,6285,6433,6238,6407,6407,20172700
2020-09-16,6409,6774,6397,6704,6704,31271000
2020-09-17,6690,6789,6617,6617,6617,19306200
2020-09-18,6573,6599,6491,6545,6545,22004900
2020-09-23,6435,6460,6351,6375,6375,16134100
2020-09-24,6209,6220,6071,6087,6087,18115700
2020-09-25,6140,6209,6077,6164,6164,12869300
2020-09-28,6225,6341,6166,6341,6341,12644000
2020-09-29,6388,6535,6363,6437,6437,15984700
2020-09-30,6482,6519,6396,6469,6469,14518200
2020-10-01,6552,6684,6490,6469,6469,21689800
2020-10-02,6552,6684,6490,6523,6523,21689800
2020-10-05,6619,6750,6607,6750,6750,14338400
2020-10-06,6842,6920,6768,6913,6913,19114100
2020-10-07,6850,6957,6830,6955,6955,16077400
2020-10-08,6991,7118,6934,7085,7085,20443700
2020-10-09,7077,7089,6981,6997,6997,16809800
2020-10-12,6989,7194,6970,7182,7182,19359000
2020-10-13,7295,7300,7030,7058,7058,20907300
2020-10-14,7058,7250,7022,7165,7165,15926300
2020-10-15,7167,7190,6956,7016,7016,15339400
2020-10-16,7065,7085,6997,7023,7023,12232200
2020-10-19,7087,7300,7077,7244,7244,17742400
2020-10-20,7170,7202,7121,7140,7140,13156600
2020-10-21,7185,7194,7065,7089,7089,11730700
2020-10-22,7048,7145,6986,7088,7088,11985900
2020-10-23,7088,7135,7042,7082,7082,9330100
2020-10-26,7075,7085,6888,6888,6888,11327700
2020-10-27,6803,6934,6771,6911,6911,11340000
2020-10-28,6906,7054,6872,7003,7003,12797600
2020-10-29,6900,6965,6868,6907,6907,11047900
2020-10-30,6890,6918,6793,6793,6793,14443100
2020-11-02,6755,6848,6681,6696,6696,14611900
2020-11-04,6600,6678,6467,6535,6535,21179800
2020-11-05,6678,6870,6665,6870,6870,15803100
2020-11-06,6801,6822,6701,6722,6722,14652300
2020-11-09,6922,7125,6871,7083,7083,16360700
2020-11-10,7004,7077,6742,6748,6748,23748600
2020-11-11,6595,6705,6524,6581,6581,21810000
2020-11-12,6702,6745,6600,6679,6679,18022200
2020-11-13,6664,6722,6567,6667,6667,15828400
2020-11-16,6746,6789,6678,6789,6789,13236100
2020-11-17,6789,6813,6650,6700,6700,13103200
2020-11-18,6696,6712,6628,6639,6639,11401200
2020-11-19,6595,6602,6534,6577,6577,12745000
2020-11-20,6586,6766,6582,6749,6749,12652100
2020-11-24,6850,6905,6805,6835,6835,13138000
